Body name,Body,"Request ref","Request summary","Receipt date","Complete date","Derived working days","Outcome","Service area"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102176","Various questions regarding allotment sites in redbridge",01/01/2010 00:00:00,28/01/2010 00:00:00,18,"Information Provided","Culture, Sport & Community Learning (Housing & Community Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102177","Various questions on Redbridge Life",04/01/2010 00:00:00,25/01/2010 00:00:00,15,"Information Provided","Corporate Communications (Customer Service & Performance)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102182","Various questions on child protectioncases /adoption/lists passed to hospitals/Ofsted inspection/CRB check",04/01/2010 00:00:00,01/02/2010 00:00:00,20,"Partial information provided, rest not held","Childrens Trust (Childrens Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102180","Additional information in addition to that provided in 102050 - list of every third pasrty council has spent money with",04/01/2010 00:00:00,03/02/2010 00:00:00,22,"Information Provided","Financial Services (Finance and Resources)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102179","Used of outside organisations for advice on FOI/DP and EIR",04/01/2010 00:00:00,06/01/2010 00:00:00,2,"Information Provided","Corporate request"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102181","Name of ICT Head/address/ICT strategy",04/01/2010 00:00:00,15/01/2010 00:00:00,9,"Information Provided","Information & Communication Technology (Finance and Resources)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102183","Various questions on staff away days for last 4 years",05/01/2010 00:00:00,07/01/2010 00:00:00,2,"Partial Information Provided","Corporate request"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102185","Number of domestic/residential properties in conservations areas",06/01/2010 00:00:00,13/01/2010 00:00:00,5,"Information Provided","Planning and Regeneration (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102186","Budget on HIV/AIDS and how monies spent",07/01/2010 00:00:00,10/02/2010 00:00:00,24,"Information Provided","Adult Social Services (Adult Social Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102188","Names and addresses of all premises who have been issued with a license to provide live music.",07/01/2010 00:00:00,05/02/2010 00:00:00,21,"Information Provided","Community Safety (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102190","request for details of premises that currently hold a licence to sell alcohol past 1 a.m.",11/01/2010 00:00:00,05/02/2010 00:00:00,19,"Information Provided","Community Safety (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102192","How many ASBOS since 1998/breached",11/01/2010 00:00:00,09/02/2010 00:00:00,21,"Information not held","Community Safety (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102191","Number of tower blocks/risk assessments/less than 10 storeys",11/01/2010 00:00:00,13/01/2010 00:00:00,2,"Information Provided","Redbridge Homes (Housing & Community Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102189","Data requested on mobile and landline communications.",11/01/2010 00:00:00,27/01/2010 00:00:00,12,"Information Provided","Information & Communication Technology (Finance and Resources)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102194","Copies of correspondence between London Marathon Ltd and London Marathon Charitable Trust plus hospitality provided re above.",12/01/2010 00:00:00,15/01/2010 00:00:00,3,"Information Provided","Culture, Sport & Community Learning (Housing & Community Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102193","info re authority�s provisions for helping home owners who need permanent care to access support that can prevent them having to sell their properties before they die.",12/01/2010 00:00:00,16/02/2010 00:00:00,25,"Information Provided","Adult Social Services (Adult Social Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102195","LBR applications for funds from London Marathon Charitable Trust",13/01/2010 00:00:00,15/01/2010 00:00:00,2,"Information Provided","Culture, Sport & Community Learning (Housing & Community Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102196","Use of RIPA since 2000",13/01/2010 00:00:00,26/02/2010 00:00:00,32,"Information Provided","Strategic Services (Customer Service & Performance)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102197","Every instance when RIPA used and details of the job position permitted to use this.",13/01/2010 00:00:00,26/02/2010 00:00:00,32,"Partial Information Provided","Strategic Services (Customer Service & Performance)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102198","Do LBR use Audit Tool/Dignity in Care campaign",13/01/2010 00:00:00,26/02/2010 00:00:00,32,"Information Provided","Adult Social Services (Adult Social Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102201","Basic commectivity for Wide Area Network Services/due for renewal/highspeed sites/integrate network/data centres used/colocation services",14/01/2010 00:00:00,26/01/2010 00:00:00,8,"Information Provided","Information & Communication Technology (Finance and Resources)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102200","Questions on municipal funerals and number of public cemeteries",14/01/2010 00:00:00,14/01/2010 00:00:00,0,"Information Provided","Community Safety (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102199","How many children placed for adoption/disrupted adoptions/adoption breakdowns",14/01/2010 00:00:00,05/02/2010 00:00:00,16,"Information Provided","Childrens Trust (Childrens Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102259","Copies of committal hearings for council tax in force since 1.1.2000/changes/amendments/revisions and documentation relating to changes.  Item 75 Data Protection Act - give details of when procedure introduced/changes/amendments/current procedures as at 6.12.07.",14/01/2010 00:00:00,11/02/2010 00:00:00,20,"Partial information provided, rest not held","Payments & Benefits (Housing & Community Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102202","Information on RIPA requests in 2009",15/01/2010 00:00:00,20/01/2010 00:00:00,3,"Information Provided","Corporate request"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102204","Various questions on consultation into the Draft Mayor of London Transport Strategy",15/01/2010 00:00:00,21/01/2010 00:00:00,4,"Information Provided","Highways and Engineering Services (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102203","Various questions on electoral roll",15/01/2010 00:00:00,29/01/2010 00:00:00,10,"Refused","Legal & Constitutional Services (Borough Secretary and Solicitor)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102205","Details accounts for running of Home Ownership Team",17/01/2010 00:00:00,15/02/2010 00:00:00,20,"Information Provided","Redbridge Homes (Housing & Community Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102206","Questions about halal food in Cleveland Junior school",18/01/2010 00:00:00,15/02/2010 00:00:00,20,"Information Provided","Childrens Services (Childrens Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102207","Contracts awarded to Robust Training and Ruskin Private Hire.  Length of contract/sum involved/any withdrawal",18/01/2010 00:00:00,15/02/2010 00:00:00,20,"Information Provided","Corporate request"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102208","Questions re parking ticket received by applicant",18/01/2010 00:00:00,21/01/2010 00:00:00,3,"Information Provided","Highways and Engineering Services (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102210","Various questions on 100 most recent FOI requests, i.e. met/not met/rejected",19/01/2010 00:00:00,23/02/2010 00:00:00,25,"Information Provided","Strategic Services (Customer Service & Performance)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102209","Questions on road works carried by by LBR in 2008/09.",19/01/2010 00:00:00,29/01/2010 00:00:00,8,"Information Provided","Highways and Engineering Services (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102211","Various questions about the Council's LADO and racist incident report logs.",20/01/2010 00:00:00,15/02/2010 00:00:00,18,"Partial Information Provided","Childrens Trust (Childrens Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102212","Addresses of empty residential properties",20/01/2010 00:00:00,15/02/2010 00:00:00,18,"Refused","Payments & Benefits (Housing & Community Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102213","Statistics of useage of Local Studies Library and total number of enquiries",21/01/2010 00:00:00,15/02/2010 00:00:00,17,"Information Provided","Culture, Sport & Community Learning (Housing & Community Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102214","Criminal convictions of drivers granted a licence by LBR to drive taxis",21/01/2010 00:00:00,05/02/2010 00:00:00,11,"Information not held","Highways and Engineering Services (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102215","Various questions to do with ICT spend within the concil",22/01/2010 00:00:00,03/03/2010 00:00:00,28,"Information Provided","Information & Communication Technology (Finance and Resources)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102216","Questions on campaign to vilify Graham Badman/inundate DCSF with FOI enquiries",24/01/2010 00:00:00,28/01/2010 00:00:00,3,"Information Provided","Childrens Services (Childrens Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102218","Copy of TMA Account/Parking Report for 2008/9",25/01/2010 00:00:00,09/02/2010 00:00:00,11,"Information Provided","Highways and Engineering Services (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102245","Requesting a copy of a photograph of someonw who has a personal licence with the authority, following an allegation of an assault on Christmas Day",25/01/2010 00:00:00,11/02/2010 00:00:00,13,"Information not held","Community Safety (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102219","Questions regarding stray dogs",25/01/2010 00:00:00,12/02/2010 00:00:00,14,"Information Provided","Cleansing & Direct Services (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102217","Documents held regarding appointment of K to board of Redbridge Homes.",25/01/2010 00:00:00,22/02/2010 00:00:00,20,"Refused","Redbridge Homes (Housing & Community Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102232","Information on implementation of approved traffic schemes",26/01/2010 00:00:00,19/02/2010 00:00:00,18,"Information Provided","Highways and Engineering Services (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102220","Redbridges full policy on giving PCNs for a vehicle obstructing footway crossing.",26/01/2010 00:00:00,12/02/2010 00:00:00,13,"Information Provided","Highways and Engineering Services (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102229","Request for statistics of how many commercial dog breeders have licence under the Breeding & Sale of Dogs (Welfare) Act?",26/01/2010 00:00:00,01/02/2010 00:00:00,4,"Information Provided","Community Safety (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102222","Request for structure charts",26/01/2010 00:00:00,23/02/2010 00:00:00,20,"Information already available elsewhere","Corporate request"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102221","Information about microchips in wheelie bins",26/01/2010 00:00:00,26/01/2010 00:00:00,0,"Information Provided","Cleansing & Direct Services (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102225","Request for information on street names",27/01/2010 00:00:00,03/02/2010 00:00:00,5,"Information Provided","Planning and Regeneration (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102224","Information about payroll and HR services",27/01/2010 00:00:00,05/02/2010 00:00:00,7,"Information Provided","Human Resources (Finance and Resources)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102223","Number of questions regarding IT including number of employees in the Council and costs.",27/01/2010 00:00:00,16/04/2010 00:00:00,55,"Information Provided","Information & Communication Technology (Finance and Resources)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102230","Information on vandalism of parking meters",28/01/2010 00:00:00,19/02/2010 00:00:00,16,"Information Provided","Highways and Engineering Services (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102233","Information regarding CCTV cameras",28/01/2010 00:00:00,02/03/2010 00:00:00,23,"Information Provided","Community Safety (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102227","Information on Smartcard use",28/01/2010 00:00:00,02/02/2010 00:00:00,3,"Information Provided","Financial Services (Finance and Resources)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102228","information on smoking ban inspections",28/01/2010 00:00:00,05/03/2010 00:00:00,26,"Information already available elsewhere","Community Safety (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102231","Please provide details of the body (whether within the council or external) that oversees remuneration or compensation packages for higher level staff.   Also, please provide the names of the people who serve on that body, and any contemporaneous employment they may hold within the council.  I am requesting information covering the last three financial years.",28/01/2010 00:00:00,23/02/2010 00:00:00,18,"Information Provided","Human Resources (Finance and Resources)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102226","A list of the suppliers for the financial year 2008-2009 on catering services (including till systems for canteens) including schools, libraries etc. (any local authority service).  2.       Where possible, the amount of money spent with each of these suppliers during this financial year.",28/01/2010 00:00:00,24/03/2010 00:00:00,39,"Information Provided","Financial Services (Finance and Resources)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102234","Details of salary scales expenses and benefits - staff and Councillors",29/01/2010 00:00:00,23/02/2010 00:00:00,17,"Information Provided","Human Resources (Finance and Resources)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102235","any records that would show the private equity and venture capital investment of London Borough of Redbridge.",29/01/2010 00:00:00,03/02/2010 00:00:00,3,"Information Provided","Financial Services (Finance and Resources)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102252","I would like to know how much money was secured as part of the negotiations with the developer and what are the caveats and conditions linked to the agreement, together with whether any money has been committed or spent at this stage.  A link to the relevant documents would be helpful. see attachment",29/01/2010 00:00:00,09/02/2010 00:00:00,7,"Information Provided","Highways and Engineering Services (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102236","Please supply the expiry date of your current archive / offsite storage contract along with the current supplier / warehouse provider for that contract.",31/01/2010 00:00:00,25/02/2010 00:00:00,18,"Information Provided","Corporate request"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102237","send me the nursery roll for the following schools for the past 2 years (or 3 years if possible). If you have the count at May (or if not at January):    Wells Primary St Antony�s Churchfields",01/02/2010 00:00:00,01/03/2010 00:00:00,20,"Information Provided","Childrens Services (Childrens Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102261","Information regarding primary and secondary school places",02/02/2010 00:00:00,01/03/2010 00:00:00,19,"Information Provided","Childrens Services (Childrens Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102240","Information regarding disciplinary actions 2006/7 to date.",02/02/2010 00:00:00,01/04/2010 00:00:00,42,"Partial Information Provided","Human Resources (Finance and Resources)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102238","Information on procurement practices",02/02/2010 00:00:00,22/02/2010 00:00:00,14,"Partial Information Provided","Financial Services (Finance and Resources)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102239","how many children in our area have gone from care into custody in the last three years, and what measures the local authority has put in place to better support the kids in their care.",03/02/2010 00:00:00,15/04/2010 00:00:00,49,"Information not held","Childrens Trust (Childrens Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102243","Details of any hospitality received by the Chief Executive and Leader of the council, covering the time period of the last three years.",03/02/2010 00:00:00,04/03/2010 00:00:00,21,"Information Provided","Human Resources (Finance and Resources)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102241","Can you please provide information on how many flights were taken firstly by employees of Redbridge Council and secondly by Redbridge Councillors, from 1st April 2008 to 31st March 2009, to  a)      Destinations in Great Britain and Northern Ireland?  b)      Destinations within Europe, outside of Great Britain and Northern Ireland?  c)      Destinations outside of Europe?   For each category above, please could you breakdown the totals by specific destination, for example: Edinburgh 7, Glasgow 5, Manchester 8 etc.",03/02/2010 00:00:00,08/03/2010 00:00:00,23,"Information Provided","Corporate request"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102244","information on schemes for targets/bonuses etc in relation to recovery of council tax  and NNDR that apply to staff in payments and benefits.",03/02/2010 00:00:00,05/02/2010 00:00:00,2,"Information Provided","Payments & Benefits (Housing & Community Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102246",". Please can you forward me a copy of your most recent Childcare Sufficiency Assessment which has been carried out in order to identify the supply and demand for childcare in your local authority.",03/02/2010 00:00:00,10/03/2010 00:00:00,25,"Information Provided","Childrens Trust (Childrens Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102242","1. How many schools in your area have installed metal detectors? (Please give a number)     2. How many schools in your area have installed panic buttons? (Please give a number)     3. Over the 2008/9 academic year, how many incidents were there where schools confiscated offensive weapons from pupils? (Please give a number)     4. How many schools used a private security firm in the 2008/9 academic year? (Please give a number)",03/02/2010 00:00:00,10/03/2010 00:00:00,25,"Information Provided","Childrens Services (Childrens Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102248","Home educated children were subject to a child protection plan/total number of children/formerly on child protection register.",05/02/2010 00:00:00,23/03/2010 00:00:00,32,"Information not held","Childrens Trust (Childrens Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102247","salary grades/scales of your Geographic Information Systems staff in the relevant posts below:- a) GIS Manager, b) GIS Supervisor c) GIS Project Co-ordinator, d) GIS Officers/Technicians, e) LPG Custodian, f) Street Naming and Numbering Officer.  In addition, I would be grateful if you could provide a copy of your current pay rates relating to the appropriate grades/scales.",05/02/2010 00:00:00,26/02/2010 00:00:00,15,"Information Provided","Human Resources (Finance and Resources)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102250","External and internal award schemes the council or council staff have applied for during 2009",08/02/2010 00:00:00,19/03/2010 00:00:00,29,"Information Provided","Corporate request"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102249","Types of equipment used to control parking spaces",08/02/2010 00:00:00,12/02/2010 00:00:00,4,"Information Provided","Highways and Engineering Services (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102320","Information about PCN and parking regulations",09/02/2010 00:00:00,09/03/2010 00:00:00,20,"Information Provided","Highways and Engineering Services (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102251","Request for copy of photo on personal licence",09/02/2010 00:00:00,11/02/2010 00:00:00,2,"Information Provided","Community Safety (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102253","Various questions on domiciliary care for those aged over 65",09/02/2010 00:00:00,11/03/2010 00:00:00,22,"Information Provided","Adult Social Services (Adult Social Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102256","Lots of statistical information required about CSCL",09/02/2010 00:00:00,05/03/2010 00:00:00,18,"Information Provided","Culture, Sport & Community Learning (Housing & Community Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102257","Various information requested re City Airport growth plan",09/02/2010 00:00:00,,0,"","Planning and Regeneration (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102255","CCTV cameras in Redbridge between 2001 and 2007",10/02/2010 00:00:00,05/03/2010 00:00:00,17,"Partial information provided, rest not held","Community Safety (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102258","Various questions on CE/Leader/Heads of service salaries/bonuses/pension schemes/employees earning �50,000 or more/�100k or more",10/02/2010 00:00:00,09/08/2010 00:00:00,124,"Information Provided","Human Resources (Finance and Resources)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102306","Authorisations issued under the Environmental Protection Act 1990 and permits issued under the Plooution Prevention and Control Act 1999 or the Environmental Permitting Regs 2007.",10/02/2010 00:00:00,08/03/2010 00:00:00,18,"Information Provided","Community Safety (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102254","Asking for a number of names of officers plus telephone and email contact details in various posts.",10/02/2010 00:00:00,10/02/2010 00:00:00,0,"Information Provided","Strategic Services (Customer Service & Performance)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102260","information on council properties and rent arrears",12/02/2010 00:00:00,16/02/2010 00:00:00,2,"Information Provided","Redbridge Homes (Housing & Community Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102263","How many educational welfare officers/educational psychologists/compulsory school age in the area",15/02/2010 00:00:00,19/03/2010 00:00:00,24,"Information Provided","Childrens Services (Childrens Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102262","Various questions to do with servers/PCs/popwer consumption/data centre or share facility",15/02/2010 00:00:00,08/03/2010 00:00:00,15,"Information Provided","Information & Communication Technology (Finance and Resources)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102268","Various quesions on officers earning �100,000 - �200,000",16/02/2010 00:00:00,08/07/2010 00:00:00,98,"Information already available elsewhere","Human Resources (Finance and Resources)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102266","Various questions on teachers/classroom assistants/employees/contractors on sex offenders list",16/02/2010 00:00:00,06/04/2010 00:00:00,33,"Information Provided","Human Resources (Finance and Resources)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102264","Various questions on FOI requests received",16/02/2010 00:00:00,16/03/2010 00:00:00,20,"Information Provided","Strategic Services (Customer Service & Performance)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102267","Number of people claiming benefits/living in homes worth �1m subsidised by council.  How many in house price ranges of �1 to �5m and above.",16/02/2010 00:00:00,19/02/2010 00:00:00,3,"Information not held","Payments & Benefits (Housing & Community Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102265","Details of external website support services commissioned by LBR including website design/website development/contracts outsourced to third party agencies",16/02/2010 00:00:00,30/03/2010 00:00:00,30,"Information Provided","Information & Communication Technology (Finance and Resources)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102270","Various questions on social housing properties",17/02/2010 00:00:00,23/02/2010 00:00:00,4,"Information Provided","Redbridge Homes (Housing & Community Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102269","Section 79 Highways Act 1980 prevention of obstruction at corners - how many times has this legislation been used.",17/02/2010 00:00:00,22/02/2010 00:00:00,3,"Information Provided","Cleansing & Direct Services (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102277","Statistics of the number of people of ethnic descent who are presecuted for benefit fraud and imprisoned as opposed to the number of caucasion people of anglo saxon descent who are prosecuted.",17/02/2010 00:00:00,17/03/2010 00:00:00,20,"Information Provided","Payments & Benefits (Housing & Community Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102271","Request for number of pest control operatives and population of the Borough",18/02/2010 00:00:00,18/02/2010 00:00:00,0,"Information Provided","Community Safety (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102272","Number of exclusions for last three years.",18/02/2010 00:00:00,03/03/2010 00:00:00,9,"Information Provided","Childrens Services (Childrens Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102273","Name and contact numbers for various heads of service",18/02/2010 00:00:00,23/02/2010 00:00:00,3,"Information Provided","Strategic Services (Customer Service & Performance)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102276","Aircraft noise complaints between 2004/2010",19/02/2010 00:00:00,02/03/2010 00:00:00,7,"Partial information provided, rest not held","Community Safety (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102274","Questions on dealing with council tax arrears.",19/02/2010 00:00:00,06/03/2010 00:00:00,11,"Information Provided","Payments & Benefits (Housing & Community Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102275","Questions on impact economic downturn has had on local authority finances.",19/02/2010 00:00:00,16/03/2010 00:00:00,17,"Information Provided","Payments & Benefits (Housing & Community Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102338","Information re policy on call monitoring and recording relating to Parking Management.",19/02/2010 00:00:00,19/03/2010 00:00:00,20,"Information Provided","Highways and Engineering Services (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102278","Primary school pupils excluded from school from 2007 - 2009",20/02/2010 00:00:00,02/03/2010 00:00:00,6,"Information Provided","Childrens Services (Childrens Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102280","Savings achieved in Supporting People programme/reserves relating to the SP programme",22/02/2010 00:00:00,25/02/2010 00:00:00,3,"Information Provided","Adult Social Services (Adult Social Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102279","Various questions on how the borough is kept clean.",22/02/2010 00:00:00,24/03/2010 00:00:00,22,"Information Provided","Cleansing & Direct Services (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102281","What is monthly income associated with each of the Car Club Only bay offered to StreetCar to park their vehicles on the streets listed and duration of contract.",23/02/2010 00:00:00,25/02/2010 00:00:00,2,"Information Provided","Highways and Engineering Services (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102283","Information collected on behalf of DCSF about allegations against staff",23/02/2010 00:00:00,22/03/2010 00:00:00,19,"Information Provided","Childrens Trust (Childrens Services)"
